trial,trialTime,attackingPiece,attackingPosition,attackedPieces,responseTime,success,responsePosition
0,0.002,wN,h8,g6;g6,0.248,0,d5
1,0.454,wN,b5,d6;d6;d4,0.223,0,e5
2,0.88,bP,c4,d3;b5,0.18,0,e5
3,1.263,bP,h3,g2;g2,0.125,0,e5
4,1.593,bR,b5,f5;c5,0.119,0,e5
5,1.915,bR,f6,e6;e6,0.14,0,e5
6,2.26,wK,g3,h2;h2,0.157,0,e5
7,2.621,bR,b4,g4;g4;b3,0.148,0,e5
8,2.973,wQ,h7,h8;h8;h2,0.155,0,e5
9,3.332,wQ,f8,e7;e7;g7;f1,0.195,0,f6
10,3.73,bR,g5,a5;g6;a5,0.502,0,d4
11,4.434,wP,a6,b7;b7,0.157,0,e5
12,4.793,wN,f1,e3;e3,0.143,0,e5
13,5.14,bP,b5,c4,0.141,0,e5
14,5.485,wN,g8,f6;f6,0.149,0,e5
15,5.838,wR,a7,a2;a6,0.15,0,e5
16,6.191,wN,c3,b5;b5;d5,0.148,0,e5
17,6.543,wB,d6,h2,0.141,0,e5
18,6.888,wP,e4,f5;f5,0.163,0,e5
19,7.255,bR,b1,e1;b7,0.186,0,e5
20,7.645,wB,d6,e7;e7;b4,0.158,0,e5
21,8.006,bB,c2,b1;e4;b1,0.179,0,e5
22,8.389,bB,f5,g6;g6,0.179,0,e5
23,8.771,wR,e7,d7;d7,0.133,0,e5
24,9.109,bR,f1,f6;e1,0.164,0,e5
25,9.476,bQ,h4,c4;g5;c4;e1,0.179,0,e5
26,9.858,bN,d7,e5;e5,0.155,1,e5
27,10.217,bN,d6,f7;f7,0.134,0,e5
28,10.556,wN,h2,g4;g4,0.17,0,e5
29,10.929,bB,a6,f1;d3,0.195,0,e5
30,11.327,wK,e3,f3;f3,0.179,0,e5
31,11.711,wB,a6,f1;f1,0.164,0,e5
32,12.079,wN,a1,b3;b3,0.17,0,e5
33,12.453,bR,h2,h7;a2,0.182,0,e5
34,12.839,bQ,b6,d4;c5,0.138,0,e5
35,13.181,wR,d2,b2;b2,0.14,0,e5
36,13.525,wB,b4,c5;c5;e1,0.149,0,e5
37,13.879,wK,f8,g8;g8;e7,0.163,0,e5
38,14.246,wB,b3,c4;c4,0.14,0,e5
39,14.589,wR,f7,d7;e7;f6,0.191,0,e5
40,14.984,wN,g2,e3;e3,0.153,0,e5
41,15.341,bQ,f4,b4;b4,0.148,0,e5
42,15.694,wB,a2,b3;b3,0.187,0,e5
43,16.084,wB,h7,c2,0.155,0,e5
44,16.443,bN,h7,f6;f6,0.205,0,e5
45,16.852,bR,h1,d1;g1,0.168,0,e5
46,17.223,wP,g7,h8;h8,0.149,0,e5
47,17.576,wB,d6,e7;e7;e5,0.202,1,e5
48,17.981,bN,d5,e7;e7;f4,0.135,0,e5
49,18.321,wK,d7,e6;e6,0.199,0,e5
50,18.724,wB,h8,a1,0.14,0,e5
51,19.067,bK,d4,e3;e3,0.158,0,e5
52,19.428,bK,b2,c2;a2;c2,0.148,0,e5
