trial,trialTime,attackingPiece,attackingPosition,attackedPieces,responseTime,success,responsePosition
0,0.002,bR,g6,d6,0.247,0,d5
1,0.452,wB,a2,b3,0.255,0,d5
2,0.911,bQ,e7,f6;e4,0.131,0,d5
3,1.247,wB,g2,a8;e4,0.14,0,d5
4,1.591,bP,d7,e6,0.096,0,d5
5,1.892,wP,h2,g3,0.125,0,d5
6,2.221,wP,g2,h3,0.127,0,d5
7,2.553,bN,g6,f8;h8,0.125,0,d5
8,2.883,wK,g8,g7,0.156,0,d5
9,3.242,wB,c4,f1;a6,0.134,0,d5
10,3.58,wR,b5,g5,0.134,0,d5
11,3.918,wQ,c3,a5;f3;c2,0.155,0,d5
12,4.277,wB,c3,b2;d2,0.155,0,d5
13,4.636,wP,e4,d5,0.173,1,d5
14,5.012,bR,c5,c8;c6,0.155,0,d5
15,5.371,bK,h1,g1,0.283,0,d5
16,5.859,wP,g4,h5,0.117,0,d5
17,6.181,wP,h6,g7,0.158,0,d5
18,6.542,wQ,g3,h4;g7;b3,0.17,0,d5
19,6.916,bP,f7,g6,0.141,0,d5
20,7.261,bN,a2,c1,0.156,0,d5
21,7.621,wN,c2,a3,0.156,0,d5
22,7.981,bR,g2,d2;g4,0.164,0,d5
23,8.349,wQ,h4,h7;h5;a4;g3,0.141,0,d5
24,8.694,wK,d7,e6,0.186,0,d5
25,9.084,bQ,d8,d2;d7,0.165,0,d5
26,9.452,wR,e3,b3;d3,0.163,0,d5
27,9.819,bB,f3,h5;g4,0.141,0,d5
28,10.165,wN,d4,e6;c6;b3,0.157,0,d5
29,10.525,bN,b7,c5,0.17,0,d5
30,10.899,bP,h2,g1,0.158,0,d5
31,11.26,wN,c5,b3,0.11,0,d5
32,11.574,bN,b7,a5,0.156,0,d5
33,11.934,bK,g2,g1,0.164,0,d5
34,12.303,wP,h2,g3,0.14,0,d5
35,12.648,bB,a3,e7,0.178,0,d5
36,13.03,bK,g8,g7,0.148,0,d5
37,13.383,wK,d5,e4;c4,0.154,0,d5
38,13.741,bN,d1,e3,0.165,0,d5
39,14.111,bN,a1,b3,0.164,0,d5
40,14.478,bB,c6,b5;g2,0.171,0,d5
41,14.853,wR,e4,e1;e7,0.161,0,d5
42,15.218,wQ,f2,d2,0.165,0,d5
43,15.587,bB,h1,d5,0.148,1,d5
44,15.94,bB,c1,f4;e3,0.171,0,d5
45,16.315,wK,c3,b4,0.329,0,d5
46,16.849,bQ,d7,d4;f7,0.155,0,d5
47,17.207,wB,f7,d5;e8,0.148,1,d5
48,17.559,bB,f2,a7;e3,0.172,0,d5
49,17.936,wN,f7,h6;d6,0.163,0,d5
50,18.303,bK,d2,d1;d3,0.178,0,d5
51,18.685,wQ,c2,c4,0.15,0,d5
52,19.037,bQ,h4,h8;f2,0.141,0,d5
53,19.383,wR,b5,f5,0.155,0,d5
54,19.742,bR,f1,f5,0.149,0,d5
