trial,trialTime,attackingPiece,attackingPosition,attackedPieces,responseTime,success,responsePosition
0,0.001,wN,e5,c4;c6;g4,0.462,0,e4
1,0.666,bQ,h3,h4,0.143,0,e4
2,1.013,bR,b8,c8,0.127,0,e4
3,1.343,wB,h6,c1;f4,0.141,0,e4
4,1.688,bP,f3,e2,0.142,0,e4
5,2.034,bR,f7,f6;f8,0.126,0,e4
6,2.365,bK,g6,g7,0.118,0,e4
7,2.687,bK,b3,a3;b4,0.155,0,e4
8,3.046,bK,f3,f2,0.119,0,e4
9,3.37,wP,a4,b5,0.126,0,e4
10,3.7,wK,g6,h5;h6,0.133,0,e4
11,4.037,bQ,b3,e3;c2,0.133,0,e4
12,4.375,bQ,h1,b7;e1,0.147,0,e4
13,4.727,wN,e6,c5,0.149,0,e4
14,5.08,bP,b3,c2,0.118,0,e4
15,5.401,bQ,h8,a8;f8;h2,0.155,0,e4
16,5.761,bK,h1,h2,0.118,0,e4
17,6.084,wN,c4,a5;e5,0.111,0,e4
18,6.399,bP,a6,b5,0.15,0,e4
19,6.752,wP,e5,f6,0.14,0,e4
20,7.097,bQ,f7,e6;e7;f5,0.149,0,e4
21,7.449,wN,h8,g6,0.148,0,e4
22,7.802,wR,g2,g7;f2,0.155,0,e4
23,8.161,bK,e6,f5;d6;d5,0.157,0,e4
24,8.522,bP,b2,c1,0.126,0,e4
25,8.853,wP,h4,g5,0.155,0,e4
26,9.212,wB,d8,b6,0.148,0,e4
27,9.564,bB,g3,e5,0.164,0,e4
28,9.932,wB,a2,c4,0.154,0,e4
29,10.291,wK,d7,c8,0.172,0,e4
30,10.668,wK,d7,e8,0.132,0,e4
31,11.005,wR,d2,g2;c2,0.171,0,e4
32,11.379,wB,h6,g5,0.164,0,e4
33,11.747,bB,g1,c5,0.141,0,e4
34,12.092,bN,d3,b4,0.171,0,e4
35,12.467,bN,f2,h1,0.148,0,e4
36,12.819,bN,c7,b5;e8,0.149,0,e4
37,13.172,wQ,f6,f8;a6,0.156,0,e4
38,13.532,bK,a6,a5;b6,0.147,0,e4
39,13.883,wP,d7,c8,0.143,0,e4
40,14.229,bP,a6,b5,0.149,0,e4
41,14.582,bN,e1,f3,0.164,0,e4
42,14.949,wB,h7,e4,0.163,1,e4
43,15.316,wN,b7,c5,0.186,0,e4
44,15.707,bR,e2,e3,0.164,0,e4
45,16.075,wN,c5,b7,0.2,0,e4
46,16.479,wQ,d4,a7;d6;f2,0.156,0,e4
47,16.84,bP,h7,g6,0.164,0,e4
48,17.208,wQ,b7,d7;a6;e4,0.313,1,e4
49,17.724,bR,h6,h7;g6;h5,0.178,0,e4
50,18.106,bN,f5,e3,0.157,0,e4
51,18.468,wR,e3,d3;e2,0.154,0,e4
52,18.826,wK,f1,e2,0.188,0,e4
53,19.217,bB,e4,b7,0.156,0,e4
54,19.577,wK,b4,a4;b3,0.149,0,e4
