trial,trialTime,attackingPiece,attackingPosition,attackedPieces,responseTime,success,responsePosition
0,0.003,bP,b6,a5;a5,0.56,0,e6
1,0.769,wN,f7,d6;d6,0.469,0,d4
2,1.441,bP,e4,f3,0.345,0,e6
3,1.989,bQ,d4,f6;d8;e5;c4,0.287,0,b3
4,2.479,bB,h1,g2;g2,0.261,0,f6
5,2.942,wK,g2,f3;f3;f1,0.157,0,d3
6,3.302,bQ,h4,h8;h8;f2,0.148,0,d3
7,3.655,bR,h3,b3;b3,0.135,0,d3
8,3.993,wB,c1,a3;a3,0.118,0,d3
9,4.315,wQ,d7,d2;d2,0.149,0,d3
10,4.668,wN,c5,d3;d3,0.149,1,d3
11,5.02,bB,a8,f3,0.156,0,d3
12,5.38,bN,g3,h5;h5,0.155,0,d3
13,5.739,bP,g2,h1,0.178,0,d3
14,6.122,wP,g7,h8;h8,0.172,0,d3
15,6.499,wQ,e2,e7;e7;c4,0.162,0,d3
16,6.864,bR,c3,f3,0.147,0,d3
17,7.215,bB,e3,g5;g5,0.16,0,d3
18,7.578,wQ,d2,g2;a2;g2,0.163,0,d3
19,7.946,bB,b6,e3;e3,0.304,0,d3
20,8.454,wP,e5,f6;f6,0.157,0,d3
21,8.814,wR,b3,b8;b5,0.141,0,d3
22,9.16,wN,b2,a4;a4,0.141,0,d3
23,9.504,bB,f2,c5;c5,0.165,0,d3
24,9.873,bB,g4,f5;f5;d1,0.164,0,d3
25,10.241,bR,b4,f4;f4,0.155,0,d3
26,10.6,wP,e7,d8,0.133,0,d3
27,10.937,bQ,e6,f7;e8;f7;b3,0.165,0,d3
28,11.306,bK,b2,c1;a3;c1,0.178,0,d3
29,11.688,bR,c6,f6,0.171,0,d3
30,12.063,wR,c2,c3;c3;f2,0.149,0,d3
31,12.415,wN,c3,e4;e4;a2,0.178,0,d3
32,12.798,wN,f1,d2;d2,0.156,0,d3
33,13.158,bN,f1,g3;g3,0.186,0,d3
34,13.549,wN,a3,c4;c4,0.163,0,d3
35,13.915,bP,g7,h6,0.194,0,d3
36,14.313,wB,g7,f6;f6,0.186,0,d3
37,14.703,wB,f5,h7;h7;b1,0.179,0,d3
38,15.085,wK,h7,g6;g6,0.178,0,d3
39,15.468,bB,f2,d4;d4,0.163,0,d3
40,15.836,bB,f5,c2,0.156,0,d3
41,16.195,wN,h8,g6;g6,0.164,0,d3
42,16.563,wK,f3,e3;e3;g2,0.178,0,d3
43,16.946,bQ,a4,f4;f4,0.201,0,d3
44,17.35,bN,h8,g6;g6,0.178,0,d3
45,17.732,bR,f3,f7;f7;c3;f2,0.171,0,d3
46,18.107,wK,d5,c5;c5,0.18,0,d3
47,18.49,bQ,a1,h1;a2;d1,0.194,0,d3
48,18.888,bB,a2,d5;d5;b1,0.181,0,d3
49,19.272,bB,e7,d8;d8,0.191,0,d3
50,19.667,bR,h1,h6;h6;f1,0.177,0,d3
