trial,trialTime,attackingPiece,attackingPosition,attackedPieces,responseTime,success,responsePosition
0,0.003,wP,a2,b3,0.626,0,e4
1,0.835,bN,c2,b4;a3,0.169,0,e4
2,1.209,bN,e1,d3;f3,0.134,0,e4
3,1.547,wK,f8,g8,0.14,0,e4
4,1.892,bR,g2,g3,0.142,0,e4
5,2.237,wP,h6,g7,0.141,0,e4
6,2.582,bP,f7,e6,0.133,0,e4
7,2.92,wB,g2,b7;c6,0.163,0,e4
8,3.287,wK,f7,e8;e6,0.15,0,e4
9,3.64,bN,f5,h4;e7,0.133,0,e4
10,3.978,bK,a2,a1,0.14,0,e4
11,4.322,bN,b6,a8,0.154,0,e4
12,4.681,wQ,c6,c7,0.166,0,e4
13,5.049,wB,f3,c6,0.134,0,e4
14,5.388,bP,c6,b5,0.334,0,e4
15,5.927,wQ,c1,c5;d1,0.148,0,e4
16,6.279,wK,f5,g4,0.186,0,e4
17,6.668,wK,a6,b5,0.165,0,e4
18,7.037,wN,d3,b4,0.185,0,e4
19,7.427,bR,g6,g5;b6,0.133,0,e4
20,7.764,bP,d5,c4,0.163,0,e4
21,8.132,wB,h6,c1,0.163,0,e4
22,8.499,wB,d5,a8;h1,0.189,0,e4
23,8.892,bR,c3,e3;d3,0.168,0,e4
24,9.264,wN,c5,d3,0.156,0,e4
25,9.624,wR,b7,b4,0.155,0,e4
26,9.983,bP,f4,g3,0.188,0,e4
27,10.375,wB,d2,g5,0.178,0,e4
28,10.758,wR,c8,c4;b8,0.163,0,e4
29,11.126,bB,e3,b6;g5,0.147,0,e4
30,11.477,bQ,b2,b3;c3;a1,0.179,0,e4
31,11.86,bR,f6,f4,0.184,0,e4
32,12.249,bN,b3,d4;c5,0.172,0,e4
33,12.625,wP,f4,e5,0.178,0,e4
34,13.007,bN,g6,e7,0.202,0,e4
35,13.413,wN,h3,g5,0.139,0,e4
36,13.756,bP,h2,g1,0.195,0,e4
37,14.156,wB,a5,d2,0.186,0,e4
38,14.545,wR,f1,f3,0.185,0,e4
39,14.935,wB,g4,e2;c8,0.217,0,e4
40,15.355,bB,h4,f2,0.17,0,e4
41,15.729,wK,a4,b5,0.156,0,e4
42,16.089,wN,a8,c7,0.194,0,e4
43,16.487,wP,b5,c6;c4,0.148,0,e4
44,16.839,bQ,b3,d5;a4;e3,0.187,0,e4
45,17.229,bR,c5,c1;c7,0.163,0,e4
46,17.597,wR,h1,h5;h3,0.15,0,e4
47,17.949,wP,h3,g4,0.178,0,e4
48,18.331,wN,b8,c6,0.164,0,e4
49,18.699,wR,g3,g6,0.188,0,e4
50,19.09,wP,c3,b4;d2,0.164,0,e4
51,19.458,bP,d4,e3;c5,0.163,0,e4
